Customer Key,Age,State,RENEWALINSUBSEQUENTSEASON
1,56,UT,1
2,69,MT,1
3,46,MT,1
4,32,NM,1
5,60,CA,0
6,25,CO,0
7,38,NV,1
8,56,NV,1
9,36,CA,0
10,40,UT,0
11,28,NV,1
12,28,NM,0
13,41,NV,1
14,53,WY,0
15,57,WY,1
16,41,ID,1
17,20,CO,1
18,39,UT,1
19,19,MT,0
20,41,CO,1
21,61,UT,0
22,47,NV,1
23,55,ID,0
24,19,CO,1
25,38,NV,0
26,50,UT,0
27,29,CO,1
28,39,MT,1
29,61,CO,0
30,42,NV,0
31,66,NM,0
32,44,NM,1
33,59,CO,0
34,45,MT,1
35,33,ID,1
36,32,ID,1
37,64,NM,0
38,68,NV,0
39,61,UT,0
40,69,NV,1
41,20,ID,1
42,54,CA,1
43,68,CA,1
44,24,CO,1
45,38,MT,0
46,26,NM,1
47,56,WY,1
48,35,WY,1
49,21,WY,1
50,42,CO,0
51,31,CA,0
52,67,ID,0
53,26,CO,0
54,43,WY,0
55,19,WY,1
56,37,NM,1
57,45,NV,1
58,64,WY,0
59,24,MT,1
60,61,WY,0
61,25,NV,1
62,64,WY,1
63,52,MT,1
64,31,ID,0
65,34,CO,1
66,53,MT,0
67,67,NV,1
68,57,CO,1
69,21,CO,0
70,19,NV,0
71,23,NM,1
72,59,CA,0
73,21,WY,0
74,46,MT,1
75,35,NV,0
76,43,ID,1
77,61,UT,1
78,51,NV,1
79,27,WY,0
80,53,WY,1
81,31,CO,1
82,48,CO,1
83,65,NV,1
84,32,UT,1
85,25,NM,1
86,31,NV,0
87,40,UT,1
88,57,NM,1
89,38,UT,1
90,33,WY,1
91,62,WY,0
92,35,WY,0
93,64,ID,1
94,41,WY,1
95,43,MT,1
96,42,CO,0
97,62,CO,0
98,58,UT,1
99,46,CO,1
100,32,CA,0
101,62,NM,1
102,18,UT,1
103,42,CO,0
104,24,CA,1
105,26,NM,0
106,41,ID,1
107,18,CO,1
108,61,CA,1
109,25,NV,0
110,41,MT,1
111,28,NV,1
112,68,CA,1
113,34,UT,1
114,25,WY,0
115,52,WY,1
116,52,WY,1
117,50,NM,1
118,22,UT,1
119,59,NM,1
120,56,CO,1
121,58,WY,0
122,45,NV,1
123,24,UT,0
124,26,UT,0
125,25,WY,1
126,29,NV,0
127,51,ID,0
128,50,UT,0
129,65,WY,1
130,40,MT,1
131,41,CA,1
132,54,NM,1
133,52,CO,0
134,61,UT,1
135,57,MT,1
136,39,MT,1
137,44,UT,0
138,52,ID,0
139,18,CA,1
140,52,CO,0
141,54,UT,1
142,64,NM,0
143,31,CO,0
144,20,NV,0
145,18,MT,0
146,22,MT,0
147,43,UT,1
148,31,UT,1
149,56,NM,1
150,44,NV,1
151,26,ID,1
152,32,UT,1
153,32,MT,1
154,43,CO,1
155,59,CA,1
156,30,WY,1
157,68,CO,0
158,49,ID,1
159,56,CA,1
160,66,CO,1
161,69,CO,0
162,49,NV,1
163,21,WY,1
164,47,NM,0
165,54,ID,1
166,40,MT,1
167,56,NV,0
168,62,CA,0
169,32,WY,0
170,60,MT,0
171,46,NV,0
172,53,WY,1
173,30,NM,1
174,49,ID,0
175,24,UT,1
176,68,NM,1
177,39,UT,1
178,45,CA,1
179,19,UT,1
180,59,NV,1
181,62,CA,0
182,23,MT,1
183,45,NM,0
184,45,NM,0
185,61,ID,1
186,61,CA,1
187,37,MT,0
188,47,NM,0
189,28,CA,0
190,45,CO,0
191,42,CO,1
192,56,CA,0
193,50,NM,1
194,18,WY,1
195,44,UT,1
196,69,CO,1
197,30,WY,1
198,58,WY,0
199,20,ID,0
200,56,MT,0
201,23,NV,1
202,25,CO,1
203,44,CA,1
204,26,UT,1
205,54,NV,1
206,50,MT,1
207,68,WY,1
208,59,MT,0
209,61,NM,1
210,41,CO,1
211,32,MT,1
212,49,MT,1
213,49,UT,1
