Purchase Key,Customer Key,Visit Key,Purchase Date,Purchase Product
1,1,1,2023-10-16,Rental
2,2,2,2023-02-05,Lesson
3,3,4,2023-02-18,Rental
4,3,9,2023-09-02,Rental
5,3,10,2023-11-06,Rental
6,3,12,2023-05-22,Rental
7,4,17,2023-11-18,Rental
8,4,17,2023-11-19,Lesson
9,5,18,2023-07-28,Rental
10,5,19,2023-09-30,Rental
11,5,20,2023-05-28,Rental
12,6,21,2023-06-28,Rental
13,6,23,2023-02-19,Rental
14,6,23,2023-02-03,Lesson
15,7,31,2023-03-04,Rental
16,7,31,2023-02-20,Lesson
17,8,32,2023-10-15,Rental
18,8,32,2023-10-02,Lesson
19,9,34,2023-05-08,Rental
20,11,41,2022-12-26,Lesson
21,13,60,2023-03-19,Rental
22,13,62,2023-01-11,Rental
23,14,63,2023-05-25,Rental
24,15,64,2023-09-30,Rental
25,15,64,2023-10-06,Lesson
26,16,65,2023-10-11,Rental
27,17,66,2023-02-12,Rental
28,18,67,2023-10-25,Rental
29,18,67,2023-10-20,Lesson
30,18,69,2023-03-10,Rental
31,19,70,2023-10-27,Rental
32,19,71,2023-02-04,Rental
33,19,72,2023-09-09,Rental
34,20,73,2023-01-07,Lesson
35,22,83,2023-01-11,Rental
36,23,85,2023-05-20,Rental
37,24,86,2023-05-01,Lesson
38,24,87,2023-07-28,Rental
39,26,92,2023-04-28,Rental
40,26,93,2023-11-14,Rental
41,28,96,2023-08-22,Lesson
42,29,97,2023-10-31,Rental
43,30,104,2023-06-06,Rental
44,30,105,2023-05-10,Rental
45,31,110,2023-12-08,Rental
46,31,111,2023-10-14,Rental
47,31,111,2023-10-23,Lesson
48,32,112,2023-02-08,Rental
49,32,113,2023-10-07,Rental
50,32,114,2023-10-11,Rental
51,33,115,2023-10-02,Rental
52,33,117,2023-04-21,Rental
53,35,128,2023-06-26,Rental
54,35,128,2023-06-27,Lesson
55,36,129,2023-05-08,Rental
56,36,130,2023-05-27,Lesson
57,37,131,2023-03-08,Rental
58,37,132,2023-08-12,Rental
59,38,133,2023-01-19,Lesson
60,38,134,2023-05-17,Rental
61,39,135,2023-01-22,Lesson
62,40,136,2023-08-30,Rental
63,40,138,2023-03-07,Rental
64,40,138,2023-03-05,Lesson
65,41,139,2023-06-13,Rental
66,41,139,2023-06-22,Lesson
67,42,140,2023-08-10,Rental
68,42,142,2023-08-21,Rental
69,43,143,2023-01-10,Rental
70,43,144,2023-09-21,Lesson
71,44,148,2023-09-16,Lesson
72,44,154,2023-09-06,Rental
73,44,155,2023-09-11,Lesson
74,46,162,2023-02-08,Rental
75,46,162,2023-01-27,Lesson
76,49,173,2023-01-12,Rental
77,51,176,2023-07-02,Rental
78,52,177,2023-04-22,Rental
79,52,179,2023-03-09,Rental
80,53,181,2023-09-05,Rental
81,55,184,2023-11-06,Rental
82,56,187,2023-03-10,Rental
83,56,192,2023-12-16,Rental
84,57,194,2023-11-05,Rental
85,57,195,2023-04-09,Rental
86,57,196,2023-06-04,Rental
87,59,200,2023-01-19,Lesson
88,60,214,2023-01-03,Lesson
89,61,224,2023-11-27,Rental
90,62,225,2023-11-10,Lesson
91,62,234,2023-09-26,Lesson
92,63,235,2023-06-15,Lesson
93,64,236,2023-11-01,Rental
94,65,244,2023-06-08,Rental
95,65,247,2022-12-30,Rental
96,66,250,2023-02-24,Rental
97,67,251,2023-11-15,Rental
98,68,252,2023-11-22,Rental
99,68,252,2023-11-21,Lesson
100,69,254,2022-12-25,Rental
101,70,256,2023-10-20,Rental
102,70,257,2023-05-16,Lesson
103,71,258,2023-03-31,Rental
104,71,258,2023-03-08,Lesson
105,71,259,2023-05-13,Rental
106,71,260,2023-10-11,Rental
107,72,261,2023-05-12,Rental
108,72,262,2023-01-29,Lesson
109,72,271,2023-09-12,Rental
110,73,272,2022-12-31,Lesson
111,73,273,2023-04-11,Lesson
112,74,274,2023-02-12,Rental
113,74,274,2023-02-13,Lesson
114,76,284,2023-08-01,Rental
115,76,284,2023-08-02,Lesson
116,77,285,2023-06-20,Rental
117,77,285,2023-06-14,Lesson
118,79,287,2023-10-28,Rental
119,79,289,2023-12-03,Rental
120,80,290,2023-11-20,Rental
121,80,290,2023-11-06,Lesson
122,81,291,2022-12-18,Lesson
123,82,292,2023-08-19,Rental
124,83,293,2023-07-06,Rental
125,84,294,2023-04-21,Rental
126,84,295,2023-07-01,Rental
127,85,296,2023-05-16,Rental
128,85,304,2023-05-21,Lesson
129,85,305,2023-09-29,Rental
130,85,306,2023-08-12,Rental
131,86,311,2023-07-30,Rental
132,86,312,2023-01-07,Rental
133,86,313,2023-12-07,Rental
134,87,314,2023-09-08,Rental
135,87,314,2023-08-27,Lesson
136,88,315,2023-10-04,Rental
137,89,316,2023-02-21,Rental
138,89,318,2023-09-05,Lesson
139,89,319,2023-06-12,Rental
140,89,328,2023-03-11,Lesson
141,89,329,2023-09-26,Rental
142,89,329,2023-09-18,Lesson
143,90,330,2023-02-24,Rental
144,90,330,2023-02-20,Lesson
145,92,345,2023-01-02,Rental
146,93,347,2023-09-12,Rental
147,93,351,2023-09-12,Rental
148,95,353,2023-04-05,Rental
149,95,353,2023-03-26,Lesson
150,95,354,2023-11-21,Rental
151,96,357,2023-02-06,Rental
152,98,361,2023-11-30,Rental
153,98,361,2023-11-25,Lesson
154,100,364,2023-01-06,Rental
155,101,366,2023-06-24,Rental
156,101,366,2023-06-18,Lesson
157,102,367,2023-01-17,Lesson
158,103,368,2023-08-19,Rental
159,104,370,2023-01-11,Rental
160,104,370,2022-12-23,Lesson
161,106,373,2023-08-20,Lesson
162,107,374,2023-11-23,Rental
163,107,374,2023-11-10,Lesson
164,107,375,2023-10-14,Rental
165,108,376,2023-11-09,Lesson
166,109,377,2023-07-19,Rental
167,109,378,2023-05-08,Rental
168,110,380,2023-12-21,Rental
169,111,381,2023-08-29,Rental
170,111,381,2023-08-23,Lesson
171,112,382,2023-10-18,Rental
172,113,385,2023-01-13,Lesson
173,113,387,2023-03-05,Lesson
174,114,389,2023-04-07,Rental
175,115,392,2023-11-23,Rental
176,116,393,2023-12-08,Rental
177,116,393,2023-11-21,Lesson
178,117,394,2023-09-28,Rental
179,117,394,2023-09-16,Lesson
180,118,395,2023-04-28,Rental
181,118,396,2023-08-10,Rental
182,118,396,2023-07-25,Lesson
183,118,397,2023-10-08,Rental
184,119,398,2023-12-01,Lesson
185,119,400,2023-11-20,Rental
186,120,401,2023-03-28,Lesson
187,121,414,2023-06-06,Rental
188,122,416,2023-06-18,Lesson
189,123,418,2023-08-17,Rental
190,125,422,2023-11-28,Rental
191,125,422,2023-12-09,Lesson
192,126,428,2023-07-07,Rental
193,126,429,2023-05-06,Rental
194,127,438,2023-11-04,Lesson
195,128,442,2023-03-22,Rental
196,129,443,2023-02-28,Rental
197,129,443,2023-03-01,Lesson
