Visit Key,Customer Key,Resort Key,Visit Start Date,Visit End Date
1,1,4,2023-10-20,2023-10-24
2,2,3,2023-02-14,2023-02-17
3,3,3,2023-12-20,2023-12-20
4,3,3,2023-02-18,2023-02-18
5,3,3,2023-08-05,2023-08-05
6,3,3,2023-05-24,2023-05-24
7,3,3,2023-01-04,2023-01-04
8,3,3,2023-01-16,2023-01-16
9,3,3,2023-09-08,2023-09-08
10,3,3,2023-11-12,2023-11-12
11,3,3,2023-07-16,2023-07-16
12,3,3,2023-05-26,2023-05-26
13,3,3,2023-04-01,2023-04-01
14,3,3,2023-01-01,2023-01-01
15,3,3,2023-04-18,2023-04-18
16,3,3,2023-10-28,2023-10-28
17,4,5,2023-12-01,2023-12-07
18,5,4,2023-08-04,2023-08-05
19,5,4,2023-10-12,2023-10-14
20,5,2,2023-06-07,2023-06-09
21,6,1,2023-07-02,2023-07-02
22,6,1,2023-04-08,2023-04-08
23,6,1,2023-02-19,2023-02-19
24,6,1,2023-01-08,2023-01-08
25,6,1,2023-07-24,2023-07-24
26,6,1,2023-09-19,2023-09-19
27,6,1,2023-01-26,2023-01-26
28,6,1,2023-01-28,2023-01-28
29,6,1,2023-12-08,2023-12-08
30,6,1,2023-01-03,2023-01-03
31,7,8,2023-03-10,2023-03-13
32,8,8,2023-10-21,2023-10-24
33,9,4,2023-02-03,2023-02-05
34,9,1,2023-05-18,2023-05-19
35,10,7,2023-05-12,2023-05-14
36,10,4,2023-09-10,2023-09-12
37,11,8,2023-04-17,2023-04-17
38,11,8,2023-05-11,2023-05-11
39,11,8,2023-12-18,2023-12-18
40,11,8,2023-09-04,2023-09-04
41,11,8,2023-01-12,2023-01-12
42,11,8,2023-07-23,2023-07-23
43,11,8,2023-10-16,2023-10-16
44,11,8,2023-05-03,2023-05-03
45,11,8,2023-04-05,2023-04-05
46,11,8,2023-09-08,2023-09-08
47,11,8,2023-05-24,2023-05-24
48,11,8,2023-09-07,2023-09-07
49,11,8,2023-02-12,2023-02-12
50,11,8,2023-12-27,2023-12-27
51,11,8,2023-03-02,2023-03-02
52,12,5,2023-12-15,2023-12-15
53,12,5,2023-11-25,2023-11-25
54,12,5,2023-08-04,2023-08-04
55,12,5,2023-01-16,2023-01-16
56,12,5,2023-01-09,2023-01-09
57,12,5,2023-05-19,2023-05-19
58,12,5,2023-07-10,2023-07-10
59,12,5,2023-02-02,2023-02-02
60,13,4,2023-03-22,2023-03-24
61,13,1,2023-07-18,2023-07-20
